abnormal
54.0
51.0
50.8
50.6
53.5
53.9
54.8
53.9
54.1
54.1
51.3
50.0
51.8
53.3
53.6
52.8
52.0
53.1
48.3
47.7
47.8
48.5
53.8
53.6
51.3
51.7
52.8
54.7
46.8
45.2
188.88
177.75
186.88
200.24
187.43
180.69
180.64
208.04
217.46
250.94
221.6
193.47
213.99
227.97
217.02
224.28
219.98
225.16
229.51
222.6
214.03
195.47
178.55
175.1
175.5
175.8
175.1
179.8
175.2
178.0
184.9
179.2
184.1
181.2
180.7
175.6
176.2
177.1
179.8
181.0
179.2
179.2
176.0
182.3
176.9
181.5
178.8
178.9
176.0
179.5
178.1
183.3
177.0
180.2
176.7
177.6
178.0
180.7
175.2
180.8
181.5
181.5
